"subject" "problem" "trial" "option" "outcome"
"1" 1 3 1 0 -3
"2" 1 3 2 0 -3
"3" 1 3 3 0 -3
"4" 1 3 4 0 -3
"5" 1 3 5 0 -3
"6" 1 3 6 0 -3
"7" 1 3 7 0 -3
"8" 1 3 8 0 -3
"9" 1 3 9 0 -3
"10" 1 3 10 0 -3
"11" 1 3 11 0 -3
"12" 1 3 12 0 -3
"13" 1 3 13 0 -3
"14" 1 3 14 0 -3
"15" 1 3 15 0 -3
"16" 1 3 16 1 0
"17" 1 3 17 1 0
"18" 1 3 18 1 0
"19" 1 6 1 1 3
"20" 1 6 2 1 3
"21" 1 6 3 1 3
"22" 1 6 4 0 0
"23" 1 6 5 0 0
"24" 1 6 6 0 0
"25" 1 6 7 0 0
"26" 1 6 8 0 0
"27" 1 6 9 1 0
"28" 1 6 10 1 0
"29" 1 6 11 0 0
"30" 1 6 12 1 0
"31" 1 6 13 0 0
"32" 1 6 14 1 0
"33" 1 6 15 0 0
"34" 1 6 16 1 0
"35" 1 6 17 0 0
"36" 1 6 18 0 0
"37" 1 6 19 0 0
"38" 1 6 20 0 0
"39" 1 6 21 0 0
"40" 1 6 22 0 0
"41" 1 6 23 0 0
"42" 1 6 24 0 0
"43" 1 6 25 1 0
"44" 1 6 26 1 0
"45" 1 6 27 0 0
"46" 1 6 28 1 3
"47" 1 6 29 0 0
"48" 1 6 30 0 0
"49" 1 6 31 1 0
"50" 1 6 32 0 0
"51" 1 6 33 0 0
"52" 1 6 34 0 0
"53" 1 6 35 1 0
"54" 1 6 36 1 0
"55" 1 6 37 1 3
"56" 1 6 38 0 0
"57" 1 6 39 0 0
"58" 1 6 40 0 0
"59" 1 6 41 0 0
"60" 1 6 42 1 0
"61" 1 6 43 1 0
"62" 1 6 44 1 0
"63" 1 6 45 0 0
"64" 1 6 46 0 0
"65" 1 6 47 1 0
"66" 1 5 1 0 0
"67" 1 5 2 0 0
"68" 1 5 3 0 0
"69" 1 5 4 0 32
"70" 1 5 5 0 0
"71" 1 5 6 0 0
"72" 1 5 7 0 0
"73" 1 5 8 0 0
"74" 1 5 9 0 32
"75" 1 5 10 0 32
"76" 1 5 11 0 32
"77" 1 5 12 0 0
"78" 1 5 13 0 0
"79" 1 5 14 0 0
"80" 1 5 15 0 0
"81" 1 5 16 0 0
"82" 1 5 17 0 0
"83" 1 5 18 0 0
"84" 1 5 19 1 3
"85" 1 5 20 1 3
"86" 1 5 21 1 3
"87" 1 5 22 1 3
"88" 1 5 23 1 3
"89" 1 5 24 1 3
"90" 1 2 1 0 0
"91" 1 2 2 0 4
"92" 1 2 3 0 0
"93" 1 2 4 0 0
"94" 1 2 5 0 0
"95" 1 2 6 0 4
"96" 1 2 7 0 4
"97" 1 2 8 0 0
"98" 1 2 9 0 0
"99" 1 2 10 0 0
"100" 1 2 11 0 0
"101" 1 2 12 0 0
"102" 1 2 13 0 0
"103" 1 2 14 0 0
"104" 1 2 15 0 0
"105" 1 2 16 0 0
"106" 1 2 17 0 0
"107" 1 2 18 0 4
"108" 1 2 19 1 0
"109" 1 2 20 1 0
"110" 1 2 21 1 0
"111" 1 2 22 1 0
"112" 1 2 23 1 0
"113" 1 2 24 1 0
"114" 1 2 25 1 3
"115" 1 2 26 1 0
"116" 1 2 27 1 0
"117" 1 2 28 1 0
"118" 1 2 29 1 0
"119" 1 2 30 1 0
"120" 1 2 31 1 0
"121" 1 2 32 1 0
"122" 1 2 33 1 3
"123" 1 2 34 1 3
"124" 1 2 35 1 3
"125" 1 2 36 1 0
"126" 1 2 37 1 0
"127" 1 2 38 0 0
"128" 1 4 1 0 -3
"129" 1 4 2 0 -3
"130" 1 4 3 0 -3
"131" 1 4 4 0 -3
"132" 1 4 5 0 -3
"133" 1 4 6 0 -3
"134" 1 4 7 0 -3
"135" 1 4 8 0 -3
"136" 1 4 9 1 -4
"137" 1 4 10 1 0
"138" 1 4 11 1 -4
"139" 1 4 12 1 -4
"140" 1 4 13 1 0
"141" 1 4 14 1 -4
"142" 1 4 15 1 -4
"143" 1 4 16 1 -4
"144" 1 1 1 1 3
"145" 1 1 2 1 3
"146" 1 1 3 1 3
"147" 1 1 4 1 3
"148" 1 1 5 1 3
"149" 1 1 6 1 3
"150" 1 1 7 1 3
"151" 1 1 8 1 3
"152" 1 1 9 1 3
"153" 1 1 10 0 4
"154" 1 1 11 0 0
"155" 1 1 12 0 0
"156" 1 1 13 0 4
"157" 1 1 14 0 4
"158" 1 1 15 0 4
"159" 1 1 16 0 0
"160" 1 1 17 0 4
"161" 1 1 18 0 4
"162" 1 1 19 0 4
"163" 2 4 1 1 -4
"164" 2 4 2 1 -4
"165" 2 4 3 0 -3
"166" 2 5 1 1 3
"167" 2 5 2 0 0
"168" 2 2 1 1 3
"169" 2 2 2 0 0
"170" 2 1 1 0 0
"171" 2 1 2 1 3
"172" 2 3 1 1 0
"173" 2 3 2 0 -3
"174" 2 6 1 1 3
"175" 2 6 2 0 32
"176" 3 5 1 1 3
"177" 3 5 2 0 32
"178" 3 5 3 1 3
"179" 3 5 4 0 0
"180" 3 5 5 1 3
"181" 3 5 6 0 0
"182" 3 5 7 1 3
"183" 3 5 8 0 0
"184" 3 5 9 1 3
"185" 3 5 10 0 0
"186" 3 5 11 1 3
"187" 3 5 12 0 0
"188" 3 5 13 1 3
"189" 3 5 14 0 0
"190" 3 5 15 1 3
"191" 3 5 16 0 0
"192" 3 5 17 1 3
"193" 3 2 1 0 4
"194" 3 2 2 1 0
"195" 3 2 3 0 0
"196" 3 2 4 1 0
"197" 3 2 5 0 0
"198" 3 2 6 1 0
"199" 3 2 7 0 0
"200" 3 2 8 1 0
"201" 3 2 9 0 0
"202" 3 2 10 1 0
"203" 3 2 11 0 0
"204" 3 2 12 1 0
"205" 3 2 13 1 0
"206" 3 2 14 1 3
"207" 3 2 15 1 0
"208" 3 2 16 0 0
"209" 3 2 17 0 4
"210" 3 2 18 0 0
"211" 3 2 19 0 0
"212" 3 2 20 0 4
"213" 3 2 21 0 0
"214" 3 4 1 0 -3
"215" 3 4 2 0 -3
"216" 3 4 3 0 -3
"217" 3 4 4 1 -4
"218" 3 4 5 1 -4
"219" 4 2 1 1 0
"220" 4 2 2 0 4
"221" 4 4 1 1 -4
"222" 4 4 2 0 -3
"223" 4 4 3 1 0
"224" 4 4 4 0 -3
"225" 4 5 1 0 0
"226" 4 5 2 0 32
"227" 4 5 3 0 0
"228" 4 5 4 0 0
"229" 4 5 5 1 3
"230" 4 5 6 1 3
"231" 4 5 7 1 3
"232" 4 6 1 1 0
"233" 4 6 2 1 0
"234" 4 6 3 1 0
"235" 4 6 4 0 0
"236" 4 6 5 0 0
"237" 4 6 6 0 0
"238" 4 6 7 0 0
"239" 4 3 1 1 0
"240" 4 3 2 0 -3
"241" 4 3 3 0 -3
"242" 4 3 4 0 -3
"243" 4 3 5 1 0
"244" 4 3 6 1 0
"245" 5 6 1 1 0
"246" 5 6 2 1 0
"247" 5 6 3 1 0
"248" 5 6 4 1 0
"249" 5 6 5 1 3
"250" 5 6 6 1 0
"251" 5 6 7 0 0
"252" 5 6 8 0 0
"253" 5 6 9 0 0
"254" 5 6 10 0 0
"255" 5 6 11 0 0
"256" 5 2 1 0 0
"257" 5 2 2 0 0
"258" 5 2 3 1 0
"259" 5 2 4 1 3
"260" 5 2 5 0 4
"261" 5 5 1 1 3
"262" 5 5 2 1 3
"263" 5 5 3 0 0
"264" 5 5 4 0 0
"265" 5 4 1 0 -3
"266" 5 4 2 0 -3
"267" 5 4 3 0 -3
"268" 5 4 4 1 -4
"269" 5 4 5 1 -4
"270" 5 4 6 1 -4
"271" 5 3 1 0 -3
"272" 5 3 2 0 -3
"273" 5 3 3 1 0
"274" 5 3 4 1 0
"275" 5 3 5 1 0
"276" 5 3 6 1 0
"277" 5 3 7 1 0
"278" 5 3 8 0 -3
"279" 6 2 1 1 0
"280" 6 2 2 0 0
"281" 6 4 1 0 -3
"282" 6 4 2 1 -4
"283" 6 6 1 1 0
"284" 6 6 2 0 0
"285" 6 5 1 1 3
"286" 6 5 2 0 0
"287" 6 3 1 1 0
"288" 6 3 2 0 -3
"289" 6 1 1 0 4
"290" 6 1 2 1 3
"291" 6 1 3 0 0
"292" 7 4 1 0 -3
"293" 7 4 2 0 -3
"294" 7 4 3 1 -4
"295" 7 4 4 0 -3
"296" 7 4 5 0 -3
"297" 7 4 6 1 0
"298" 7 4 7 1 -4
"299" 7 4 8 0 -3
"300" 7 4 9 0 -3
"301" 7 5 1 0 0
"302" 7 5 2 0 0
"303" 7 5 3 0 0
"304" 7 5 4 0 0
"305" 7 5 5 1 3
"306" 7 5 6 1 3
"307" 7 5 7 1 3
"308" 7 5 8 1 3
"309" 7 5 9 1 3
"310" 7 5 10 0 0
"311" 7 5 11 0 0
"312" 7 5 12 1 3
"313" 7 5 13 0 0
"314" 7 5 14 1 3
"315" 7 5 15 0 0
"316" 7 5 16 0 0
"317" 7 5 17 1 3
"318" 7 3 1 0 -3
"319" 7 3 2 0 -3
"320" 7 3 3 0 -3
"321" 7 3 4 0 -3
"322" 7 3 5 1 0
"323" 7 3 6 1 0
"324" 7 3 7 1 0
"325" 7 3 8 1 0
"326" 7 3 9 0 -3
"327" 7 3 10 1 0
"328" 7 3 11 0 -3
"329" 7 2 1 0 0
"330" 7 2 2 0 4
"331" 7 2 3 0 0
"332" 7 2 4 0 0
"333" 7 2 5 1 0
"334" 7 2 6 1 0
"335" 7 2 7 1 0
"336" 7 2 8 1 0
"337" 7 2 9 1 0
"338" 7 2 10 1 0
"339" 7 1 1 1 3
"340" 7 1 2 1 3
"341" 7 1 3 1 3
"342" 7 1 4 0 4
"343" 7 1 5 0 0
"344" 7 1 6 0 4
"345" 7 6 1 0 0
"346" 7 6 2 0 0
"347" 7 6 3 0 0
"348" 7 6 4 1 3
"349" 7 6 5 1 3
"350" 7 6 6 1 0
"351" 7 6 7 1 0
"352" 7 6 8 0 0
"353" 8 4 1 1 -4
"354" 8 4 2 0 -3
"355" 8 4 3 1 -4
"356" 8 1 1 0 0
"357" 8 1 2 1 3
"358" 8 2 1 1 3
"359" 8 2 2 0 0
"360" 8 2 3 1 0
"361" 8 2 4 0 0
"362" 8 2 5 1 0
"363" 8 2 6 0 4
"364" 8 2 7 1 0
"365" 8 2 8 0 0
"366" 8 2 9 1 0
"367" 8 2 10 0 0
"368" 8 2 11 1 0
"369" 8 2 12 0 0
"370" 8 2 13 1 3
"371" 8 2 14 0 0
