"subject" "problem" "choice"
"1" 1 1 0
"2" 1 2 1
"3" 1 3 1
"4" 1 4 0
"5" 1 5 1
"6" 1 6 0
"7" 2 1 1
"8" 2 2 0
"9" 2 3 1
"10" 2 4 0
"11" 2 5 0
"12" 2 6 0
"13" 3 1 1
"14" 3 2 0
"15" 3 3 0
"16" 3 4 1
"17" 3 5 0
"18" 3 6 1
"19" 4 1 1
"20" 4 2 0
"21" 4 3 1
"22" 4 4 1
"23" 4 5 1
"24" 4 6 1
"25" 5 1 1
"26" 5 2 0
"27" 5 3 1
"28" 5 4 0
"29" 5 5 0
"30" 5 6 0
"31" 6 1 1
"32" 6 2 0
"33" 6 3 1
"34" 6 4 1
"35" 6 5 0
"36" 6 6 1
"37" 7 1 0
"38" 7 2 0
"39" 7 3 1
"40" 7 4 0
"41" 7 5 1
"42" 7 6 1
"43" 8 1 0
"44" 8 2 0
"45" 8 3 1
"46" 8 4 0
"47" 8 5 0
"48" 8 6 1
"49" 9 1 0
"50" 9 2 0
"51" 9 3 0
"52" 9 4 0
"53" 9 5 0
"54" 9 6 0
"55" 10 1 1
"56" 10 2 0
"57" 10 3 1
"58" 10 4 0
"59" 10 5 1
"60" 10 6 0
"61" 11 1 0
"62" 11 2 1
"63" 11 3 1
"64" 11 4 0
"65" 11 5 1
"66" 11 6 1
"67" 12 1 1
"68" 12 2 0
"69" 12 3 0
"70" 12 4 0
"71" 12 5 1
"72" 12 6 0
"73" 13 1 0
"74" 13 2 0
"75" 13 3 1
"76" 13 4 0
"77" 13 5 0
"78" 13 6 1
"79" 14 1 1
"80" 14 2 0
"81" 14 3 0
"82" 14 4 0
"83" 14 5 1
"84" 14 6 1
"85" 15 1 0
"86" 15 2 1
"87" 15 3 1
"88" 15 4 0
"89" 15 5 1
"90" 15 6 1
"91" 16 1 1
"92" 16 2 1
"93" 16 3 0
"94" 16 4 0
"95" 16 5 0
"96" 16 6 1
"97" 17 1 0
"98" 17 2 0
"99" 17 3 1
"100" 17 4 0
"101" 17 5 1
"102" 17 6 0
"103" 18 1 0
"104" 18 2 0
"105" 18 3 0
"106" 18 4 1
"107" 18 5 1
"108" 18 6 1
"109" 19 1 0
"110" 19 2 0
"111" 19 3 1
"112" 19 4 0
"113" 19 5 0
"114" 19 6 0
"115" 20 1 0
"116" 20 2 0
"117" 20 3 1
"118" 20 4 1
"119" 20 5 0
"120" 20 6 0
"121" 21 1 0
"122" 21 2 0
"123" 21 3 1
"124" 21 4 1
"125" 21 5 0
"126" 21 6 0
"127" 22 1 0
"128" 22 2 1
"129" 22 3 0
"130" 22 4 0
"131" 22 5 1
"132" 22 6 1
"133" 23 1 1
"134" 23 2 0
"135" 23 3 1
"136" 23 4 1
"137" 23 5 1
"138" 23 6 1
"139" 24 1 0
"140" 24 2 0
"141" 24 3 0
"142" 24 4 0
"143" 24 5 1
"144" 24 6 1
"145" 25 1 1
"146" 25 2 0
"147" 25 3 1
"148" 25 4 1
"149" 25 5 0
"150" 25 6 1
"151" 26 1 0
"152" 26 2 0
"153" 26 3 1
"154" 26 4 1
"155" 26 5 1
"156" 26 6 0
"157" 27 1 0
"158" 27 2 1
"159" 27 3 1
"160" 27 4 1
"161" 27 5 1
"162" 27 6 1
"163" 28 1 1
"164" 28 2 0
"165" 28 3 1
"166" 28 4 1
"167" 28 5 1
"168" 28 6 1
"169" 29 1 0
"170" 29 2 1
"171" 29 3 0
"172" 29 4 0
"173" 29 5 1
"174" 29 6 1
"175" 30 1 1
"176" 30 2 1
"177" 30 3 1
"178" 30 4 0
"179" 30 5 1
"180" 30 6 0
"181" 31 1 1
"182" 31 2 0
"183" 31 3 0
"184" 31 4 1
"185" 31 5 0
"186" 31 6 0
"187" 32 1 0
"188" 32 2 0
"189" 32 3 0
"190" 32 4 0
"191" 32 5 1
"192" 32 6 1
"193" 33 1 0
"194" 33 2 0
"195" 33 3 0
"196" 33 4 1
"197" 33 5 0
"198" 33 6 1
"199" 34 1 0
"200" 34 2 0
"201" 34 3 1
"202" 34 4 0
"203" 34 5 1
"204" 34 6 0
"205" 35 1 0
"206" 35 2 1
"207" 35 3 1
"208" 35 4 1
"209" 35 5 1
"210" 35 6 1
"211" 36 1 0
"212" 36 2 0
"213" 36 3 1
"214" 36 4 1
"215" 36 5 1
"216" 36 6 0
"217" 37 1 0
"218" 37 2 0
"219" 37 3 1
"220" 37 4 1
"221" 37 5 0
"222" 37 6 1
"223" 38 1 0
"224" 38 2 0
"225" 38 3 1
"226" 38 4 0
"227" 38 5 1
"228" 38 6 1
"229" 39 1 0
"230" 39 2 0
"231" 39 3 1
"232" 39 4 1
"233" 39 5 0
"234" 39 6 1
"235" 40 1 0
"236" 40 2 0
"237" 40 3 1
"238" 40 4 1
"239" 40 5 1
"240" 40 6 1
