"subject" "problem" "choice"
"1" 1 1 0
"2" 2 1 0
"3" 3 1 0
"4" 4 1 0
"5" 5 1 0
"6" 6 1 0
"7" 7 1 0
"8" 8 1 0
"9" 9 1 0
"10" 10 1 1
"11" 11 1 0
"12" 12 1 1
"13" 13 1 0
"14" 14 1 0
"15" 15 1 0
"16" 16 1 0
"17" 17 1 0
"18" 18 1 0
"19" 19 1 0
"20" 20 1 0
"21" 21 1 0
"22" 22 1 0
"23" 23 1 0
"24" 24 1 1
"25" 25 1 0
"26" 1 2 1
"27" 2 2 1
"28" 3 2 1
"29" 4 2 1
"30" 5 2 1
"31" 6 2 0
"32" 7 2 0
"33" 8 2 0
"34" 9 2 1
"35" 10 2 1
"36" 11 2 0
"37" 12 2 1
"38" 13 2 1
"39" 14 2 0
"40" 15 2 0
"41" 16 2 0
"42" 17 2 1
"43" 18 2 0
"44" 19 2 0
"45" 20 2 0
"46" 21 2 1
"47" 22 2 1
"48" 23 2 1
"49" 24 2 0
"50" 25 2 1
"51" 1 3 1
"52" 2 3 1
"53" 3 3 1
"54" 4 3 0
"55" 5 3 1
"56" 6 3 1
"57" 7 3 1
"58" 8 3 1
"59" 9 3 0
"60" 10 3 1
"61" 11 3 1
"62" 12 3 1
"63" 13 3 0
"64" 14 3 1
"65" 15 3 1
"66" 16 3 1
"67" 17 3 0
"68" 18 3 1
"69" 19 3 1
"70" 20 3 0
"71" 21 3 1
"72" 22 3 1
"73" 23 3 0
"74" 24 3 1
"75" 25 3 0
"76" 26 4 0
"77" 27 4 0
"78" 28 4 0
"79" 29 4 0
"80" 30 4 1
"81" 31 4 0
"82" 32 4 1
"83" 33 4 0
"84" 34 4 1
"85" 35 4 0
"86" 36 4 1
"87" 37 4 1
"88" 38 4 0
"89" 39 4 0
"90" 40 4 1
"91" 41 4 0
"92" 42 4 1
"93" 43 4 0
"94" 44 4 0
"95" 45 4 1
"96" 46 4 0
"97" 47 4 1
"98" 48 4 0
"99" 49 4 1
"100" 50 4 1
"101" 26 5 1
"102" 27 5 1
"103" 28 5 1
"104" 29 5 1
"105" 30 5 1
"106" 31 5 1
"107" 32 5 0
"108" 33 5 1
"109" 34 5 1
"110" 35 5 1
"111" 36 5 1
"112" 37 5 1
"113" 38 5 1
"114" 39 5 1
"115" 40 5 1
"116" 41 5 1
"117" 42 5 1
"118" 43 5 0
"119" 44 5 1
"120" 45 5 0
"121" 46 5 0
"122" 47 5 0
"123" 48 5 1
"124" 49 5 1
"125" 50 5 1
"126" 26 6 1
"127" 27 6 1
"128" 28 6 1
"129" 29 6 1
"130" 30 6 1
"131" 31 6 1
"132" 32 6 0
"133" 33 6 1
"134" 34 6 1
"135" 35 6 1
"136" 36 6 1
"137" 37 6 1
"138" 38 6 1
"139" 39 6 1
"140" 40 6 1
"141" 41 6 1
"142" 42 6 1
"143" 43 6 0
"144" 44 6 0
"145" 45 6 1
"146" 46 6 1
"147" 47 6 1
"148" 48 6 1
"149" 49 6 1
"150" 50 6 1
