"subject" "problem" "choice"
"312" 51 1 1
"304" 51 2 0
"5" 51 3 0
"324" 52 1 1
"316" 52 2 1
"17" 52 3 0
"336" 53 1 1
"328" 53 2 0
"29" 53 3 0
"348" 54 1 1
"340" 54 2 0
"41" 54 3 1
"360" 55 1 1
"352" 55 2 1
"53" 55 3 0
"372" 56 1 0
"364" 56 2 0
"65" 56 3 0
"384" 57 1 0
"376" 57 2 0
"77" 57 3 0
"396" 58 1 1
"388" 58 2 1
"89" 58 3 1
"408" 59 1 1
"400" 59 2 1
"101" 59 3 0
"420" 60 1 1
"412" 60 2 0
"113" 60 3 0
"432" 61 1 1
"424" 61 2 1
"125" 61 3 0
"444" 62 1 1
"436" 62 2 0
"137" 62 3 1
"456" 63 1 1
"448" 63 2 0
"149" 63 3 0
"468" 64 1 0
"460" 64 2 0
"161" 64 3 0
"480" 65 1 0
"472" 65 2 1
"173" 65 3 1
"492" 66 1 0
"484" 66 2 0
"185" 66 3 1
"504" 67 1 1
"496" 67 2 1
"197" 67 3 0
"516" 68 1 1
"508" 68 2 1
"209" 68 3 0
"528" 69 1 0
"520" 69 2 0
"221" 69 3 0
"540" 70 1 1
"532" 70 2 0
"233" 70 3 1
"552" 71 1 0
"544" 71 2 0
"245" 71 3 1
"564" 72 1 1
"556" 72 2 0
"257" 72 3 1
"576" 73 1 1
"568" 73 2 1
"269" 73 3 0
"588" 74 1 0
"580" 74 2 0
"281" 74 3 1
"600" 75 1 0
"592" 75 2 0
"293" 75 3 0
"1" 76 4 0
"12" 76 5 1
"9" 76 6 0
"13" 77 4 1
"24" 77 5 1
"21" 77 6 0
"25" 78 4 0
"36" 78 5 0
"33" 78 6 0
"37" 79 4 0
"48" 79 5 0
"45" 79 6 1
"49" 80 4 1
"60" 80 5 0
"57" 80 6 1
"61" 81 4 1
"72" 81 5 0
"69" 81 6 1
"73" 82 4 0
"84" 82 5 0
"81" 82 6 1
"85" 83 4 1
"96" 83 5 1
"93" 83 6 0
"97" 84 4 0
"108" 84 5 1
"105" 84 6 0
"109" 85 4 1
"120" 85 5 1
"117" 85 6 1
"121" 86 4 0
"132" 86 5 1
"129" 86 6 1
"133" 87 4 1
"144" 87 5 1
"141" 87 6 1
"145" 88 4 1
"156" 88 5 1
"153" 88 6 0
"157" 89 4 1
"168" 89 5 1
"165" 89 6 0
"169" 90 4 1
"180" 90 5 1
"177" 90 6 1
"181" 91 4 1
"192" 91 5 0
"189" 91 6 1
"193" 92 4 1
"204" 92 5 0
"201" 92 6 0
"205" 93 4 1
"216" 93 5 1
"213" 93 6 0
"217" 94 4 1
"228" 94 5 1
"225" 94 6 0
"229" 95 4 1
"240" 95 5 1
"237" 95 6 0
"241" 96 4 1
"252" 96 5 0
"249" 96 6 0
"253" 97 4 0
"264" 97 5 0
"261" 97 6 0
"265" 98 4 1
"276" 98 5 0
"273" 98 6 0
"277" 99 4 1
"288" 99 5 0
"285" 99 6 0
"289" 100 4 1
"300" 100 5 0
"297" 100 6 0
