"subject" "problem" "trial" "option" "outcome" "lastsample"
"1" 1 1 1 0 4 0
"2" 1 1 2 0 4 0
"3" 1 1 3 0 4 0
"4" 1 1 4 0 4 0
"5" 1 1 5 0 0 0
"6" 1 1 6 0 4 0
"7" 1 1 7 0 4 0
"8" 1 1 8 0 4 0
"9" 1 1 9 0 4 0
"10" 1 1 10 0 4 0
"11" 1 1 11 0 0 0
"12" 1 1 12 0 4 0
"13" 1 1 13 1 3 0
"14" 1 1 14 1 3 0
"15" 1 1 15 1 3 0
"16" 1 1 16 1 3 0
"17" 1 1 17 1 3 0
"18" 1 1 18 1 3 0
"19" 1 1 19 1 3 0
"20" 1 1 20 1 3 0
"21" 1 1 21 1 3 0
"22" 1 1 22 1 3 0
"23" 1 1 23 1 3 0
"24" 1 1 24 1 3 0
"25" 1 1 25 1 3 0
"26" 1 1 26 1 3 0
"27" 1 1 27 1 3 0
"28" 1 1 28 1 3 0
"29" 1 1 29 0 4 0
"30" 1 1 30 0 4 0
"31" 1 1 31 0 4 0
"32" 1 1 32 0 4 0
"33" 1 1 33 0 0 0
"34" 1 1 34 0 4 1
"35" 2 1 1 1 3 0
"36" 2 1 2 1 3 0
"37" 2 1 3 1 3 0
"38" 2 1 4 1 3 0
"39" 2 1 5 0 4 0
"40" 2 1 6 0 4 0
"41" 2 1 7 0 4 0
"42" 2 1 8 0 4 0
"43" 2 1 9 0 4 0
"44" 2 1 10 1 3 0
"45" 2 1 11 1 3 0
"46" 2 1 12 1 3 0
"47" 2 1 13 1 3 0
"48" 2 1 14 1 3 1
"49" 3 1 1 0 0 0
"50" 3 1 2 1 3 1
"51" 4 1 1 1 3 0
"52" 4 1 2 0 4 1
"53" 5 1 1 1 3 0
"54" 5 1 2 1 3 0
"55" 5 1 3 1 3 0
"56" 5 1 4 1 3 0
"57" 5 1 5 0 4 0
"58" 5 1 6 0 4 0
"59" 5 1 7 0 4 0
"60" 5 1 8 0 4 1
"61" 6 1 1 1 3 0
"62" 6 1 2 1 3 0
"63" 6 1 3 1 3 0
"64" 6 1 4 0 4 0
"65" 6 1 5 0 4 0
"66" 6 1 6 1 3 0
"67" 6 1 7 0 0 0
"68" 6 1 8 0 4 0
"69" 6 1 9 1 3 0
"70" 6 1 10 1 3 0
"71" 6 1 11 0 4 0
"72" 6 1 12 0 4 0
"73" 6 1 13 0 4 0
"74" 6 1 14 0 4 0
"75" 6 1 15 1 3 1
"76" 7 1 1 0 4 0
"77" 7 1 2 0 0 0
"78" 7 1 3 0 0 0
"79" 7 1 4 0 4 0
"80" 7 1 5 0 4 0
"81" 7 1 6 0 4 0
"82" 7 1 7 0 4 0
"83" 7 1 8 0 4 0
"84" 7 1 9 0 4 0
"85" 7 1 10 0 4 0
"86" 7 1 11 1 3 0
"87" 7 1 12 1 3 0
"88" 7 1 13 1 3 0
"89" 7 1 14 1 3 0
"90" 7 1 15 1 3 0
"91" 7 1 16 1 3 0
"92" 7 1 17 1 3 0
"93" 7 1 18 0 4 0
"94" 7 1 19 0 4 0
"95" 7 1 20 0 4 0
"96" 7 1 21 0 4 0
"97" 7 1 22 0 4 0
"98" 7 1 23 0 4 0
"99" 7 1 24 0 4 0
"100" 7 1 25 0 4 0
"101" 7 1 26 0 4 0
"102" 7 1 27 0 4 0
"103" 7 1 28 0 4 0
"104" 7 1 29 0 0 0
"105" 7 1 30 0 4 0
"106" 7 1 31 0 4 0
"107" 7 1 32 0 4 0
"108" 7 1 33 1 3 0
"109" 7 1 34 1 3 0
"110" 7 1 35 1 3 0
"111" 7 1 36 1 3 1
"112" 8 1 1 1 3 0
"113" 8 1 2 1 3 0
"114" 8 1 3 0 4 0
"115" 8 1 4 1 3 0
"116" 8 1 5 0 0 0
"117" 8 1 6 0 0 0
"118" 8 1 7 1 3 0
"119" 8 1 8 0 4 0
"120" 8 1 9 1 3 0
"121" 8 1 10 0 4 0
"122" 8 1 11 1 3 0
"123" 8 1 12 0 4 0
"124" 8 1 13 1 3 0
"125" 8 1 14 0 4 0
"126" 8 1 15 1 3 0
"127" 8 1 16 0 4 0
"128" 8 1 17 1 3 0
"129" 8 1 18 0 4 0
"130" 8 1 19 1 3 0
"131" 8 1 20 0 0 0
"132" 8 1 21 1 3 0
"133" 8 1 22 0 4 0
"134" 8 1 23 1 3 0
"135" 8 1 24 0 4 0
"136" 8 1 25 1 3 0
"137" 8 1 26 0 0 0
"138" 8 1 27 1 3 1
"139" 9 1 1 1 3 0
"140" 9 1 2 0 0 0
"141" 9 1 3 1 3 0
"142" 9 1 4 0 4 0
"143" 9 1 5 1 3 0
"144" 9 1 6 0 4 0
"145" 9 1 7 1 3 0
"146" 9 1 8 0 4 0
"147" 9 1 9 1 3 0
"148" 9 1 10 0 4 0
"149" 9 1 11 1 3 0
"150" 9 1 12 0 4 0
"151" 9 1 13 1 3 0
"152" 9 1 14 0 4 0
"153" 9 1 15 1 3 0
"154" 9 1 16 0 4 0
"155" 9 1 17 1 3 0
"156" 9 1 18 0 4 1
"157" 10 1 1 0 4 0
"158" 10 1 2 0 4 0
"159" 10 1 3 0 0 0
"160" 10 1 4 0 4 0
"161" 10 1 5 0 4 0
"162" 10 1 6 0 4 0
"163" 10 1 7 0 4 0
"164" 10 1 8 0 4 0
"165" 10 1 9 0 0 0
"166" 10 1 10 0 4 0
"167" 10 1 11 0 4 0
"168" 10 1 12 0 4 0
"169" 10 1 13 0 4 0
"170" 10 1 14 0 4 0
"171" 10 1 15 0 4 0
"172" 10 1 16 0 4 0
"173" 10 1 17 0 4 0
"174" 10 1 18 0 4 0
"175" 10 1 19 0 4 0
"176" 10 1 20 0 0 0
"177" 10 1 21 0 4 0
"178" 10 1 22 0 4 0
"179" 10 1 23 0 0 0
"180" 10 1 24 0 4 0
"181" 10 1 25 0 4 0
"182" 10 1 26 0 4 0
"183" 10 1 27 0 4 0
"184" 10 1 28 0 4 0
"185" 10 1 29 0 4 0
"186" 10 1 30 0 4 0
"187" 10 1 31 0 0 0
"188" 10 1 32 0 0 0
"189" 10 1 33 0 4 0
"190" 10 1 34 0 4 0
"191" 10 1 35 0 4 0
"192" 10 1 36 0 4 0
"193" 10 1 37 1 3 0
"194" 10 1 38 1 3 0
"195" 10 1 39 1 3 0
"196" 10 1 40 1 3 0
"197" 10 1 41 1 3 0
"198" 10 1 42 1 3 1
"199" 11 1 1 0 4 0
"200" 11 1 2 1 3 0
"201" 11 1 3 0 4 0
"202" 11 1 4 1 3 0
"203" 11 1 5 0 4 0
"204" 11 1 6 1 3 0
"205" 11 1 7 0 0 0
"206" 11 1 8 1 3 0
"207" 11 1 9 0 4 0
"208" 11 1 10 1 3 0
"209" 11 1 11 0 4 0
"210" 11 1 12 1 3 0
"211" 11 1 13 0 4 0
"212" 11 1 14 1 3 0
"213" 11 1 15 0 4 0
"214" 11 1 16 0 4 0
"215" 11 1 17 0 4 0
"216" 11 1 18 0 4 0
"217" 11 1 19 0 0 0
"218" 11 1 20 0 4 1
"219" 12 1 1 0 4 0
"220" 12 1 2 1 3 0
"221" 12 1 3 0 0 0
"222" 12 1 4 1 3 0
"223" 12 1 5 0 0 0
"224" 12 1 6 1 3 0
"225" 12 1 7 0 4 0
"226" 12 1 8 1 3 0
"227" 12 1 9 0 4 0
"228" 12 1 10 1 3 1
"229" 13 1 1 1 3 0
"230" 13 1 2 0 4 0
"231" 13 1 3 1 3 0
"232" 13 1 4 0 4 0
"233" 13 1 5 0 4 0
"234" 13 1 6 1 3 1
"235" 14 1 1 0 4 0
"236" 14 1 2 0 4 0
"237" 14 1 3 0 4 0
"238" 14 1 4 0 4 0
"239" 14 1 5 0 4 0
"240" 14 1 6 0 0 0
"241" 14 1 7 0 4 0
"242" 14 1 8 1 3 0
"243" 14 1 9 1 3 0
"244" 14 1 10 1 3 0
"245" 14 1 11 1 3 0
"246" 14 1 12 1 3 0
"247" 14 1 13 1 3 0
"248" 14 1 14 1 3 0
"249" 14 1 15 1 3 0
"250" 14 1 16 1 3 0
"251" 14 1 17 0 4 1
"252" 15 1 1 0 4 0
"253" 15 1 2 1 3 0
"254" 15 1 3 0 4 0
"255" 15 1 4 1 3 0
"256" 15 1 5 0 4 0
"257" 15 1 6 1 3 0
"258" 15 1 7 0 4 0
"259" 15 1 8 1 3 0
"260" 15 1 9 0 4 1
"261" 16 1 1 0 4 0
"262" 16 1 2 0 4 0
"263" 16 1 3 0 4 0
"264" 16 1 4 0 4 0
"265" 16 1 5 0 4 0
"266" 16 1 6 0 4 0
"267" 16 1 7 0 4 0
"268" 16 1 8 0 0 0
"269" 16 1 9 0 4 0
"270" 16 1 10 1 3 0
"271" 16 1 11 1 3 0
"272" 16 1 12 1 3 0
"273" 16 1 13 1 3 0
"274" 16 1 14 1 3 0
"275" 16 1 15 1 3 0
"276" 16 1 16 1 3 0
"277" 16 1 17 1 3 0
"278" 16 1 18 1 3 0
"279" 16 1 19 1 3 1
"280" 17 1 1 0 4 0
"281" 17 1 2 1 3 0
"282" 17 1 3 1 3 0
"283" 17 1 4 0 4 1
"284" 18 1 1 0 4 0
"285" 18 1 2 0 4 0
"286" 18 1 3 0 0 0
"287" 18 1 4 0 4 0
"288" 18 1 5 0 4 0
"289" 18 1 6 0 4 0
"290" 18 1 7 0 4 0
"291" 18 1 8 0 4 0
"292" 18 1 9 0 0 0
"293" 18 1 10 0 4 0
"294" 18 1 11 0 4 0
"295" 18 1 12 1 3 0
"296" 18 1 13 1 3 0
"297" 18 1 14 1 3 0
"298" 18 1 15 1 3 0
"299" 18 1 16 1 3 0
"300" 18 1 17 1 3 0
"301" 18 1 18 1 3 0
"302" 18 1 19 1 3 0
"303" 18 1 20 0 0 0
"304" 18 1 21 1 3 0
"305" 18 1 22 0 0 0
"306" 18 1 23 0 4 0
"307" 18 1 24 0 4 0
"308" 18 1 25 1 3 0
"309" 18 1 26 1 3 0
"310" 18 1 27 0 4 0
"311" 18 1 28 1 3 0
"312" 18 1 29 0 4 0
"313" 18 1 30 1 3 0
"314" 18 1 31 0 4 0
"315" 18 1 32 1 3 0
"316" 18 1 33 0 0 0
"317" 18 1 34 1 3 0
"318" 18 1 35 0 4 0
"319" 18 1 36 1 3 0
"320" 18 1 37 0 4 0
"321" 18 1 38 1 3 0
"322" 18 1 39 0 4 0
"323" 18 1 40 1 3 0
"324" 18 1 41 0 4 0
"325" 18 1 42 1 3 0
"326" 18 1 43 0 4 0
"327" 18 1 44 1 3 0
"328" 18 1 45 0 4 0
"329" 18 1 46 1 3 0
"330" 18 1 47 0 4 0
"331" 18 1 48 1 3 0
"332" 18 1 49 0 4 0
"333" 18 1 50 1 3 0
"334" 18 1 51 0 4 0
"335" 18 1 52 0 4 0
"336" 18 1 53 0 4 0
"337" 18 1 54 0 4 0
"338" 18 1 55 0 4 0
"339" 18 1 56 0 4 0
"340" 18 1 57 0 0 0
"341" 18 1 58 0 4 1
"342" 19 1 1 1 3 0
"343" 19 1 2 0 4 0
"344" 19 1 3 1 3 0
"345" 19 1 4 0 4 1
"346" 20 1 1 1 3 0
"347" 20 1 2 0 4 1
"348" 21 1 1 0 4 0
"349" 21 1 2 0 4 0
"350" 21 1 3 0 4 0
"351" 21 1 4 0 4 0
"352" 21 1 5 0 4 0
"353" 21 1 6 1 3 0
"354" 21 1 7 1 3 0
"355" 21 1 8 1 3 0
"356" 21 1 9 1 3 0
"357" 21 1 10 1 3 1
"358" 22 1 1 1 3 0
"359" 22 1 2 1 3 0
"360" 22 1 3 1 3 0
"361" 22 1 4 1 3 0
"362" 22 1 5 0 0 0
"363" 22 1 6 0 4 0
"364" 22 1 7 0 4 0
"365" 22 1 8 0 0 0
"366" 22 1 9 0 4 0
"367" 22 1 10 0 4 0
"368" 22 1 11 0 4 0
"369" 22 1 12 0 4 0
"370" 22 1 13 0 4 1
"371" 23 1 1 0 4 0
"372" 23 1 2 1 3 0
"373" 23 1 3 0 4 0
"374" 23 1 4 1 3 1
"375" 24 1 1 1 3 0
"376" 24 1 2 1 3 0
"377" 24 1 3 1 3 0
"378" 24 1 4 1 3 0
"379" 24 1 5 1 3 0
"380" 24 1 6 1 3 0
"381" 24 1 7 1 3 0
"382" 24 1 8 0 4 0
"383" 24 1 9 0 4 0
"384" 24 1 10 0 4 0
"385" 24 1 11 0 4 0
"386" 24 1 12 0 0 0
"387" 24 1 13 0 4 0
"388" 24 1 14 0 0 0
"389" 24 1 15 0 4 1
"390" 25 1 1 1 3 0
"391" 25 1 2 1 3 0
"392" 25 1 3 1 3 0
"393" 25 1 4 0 4 0
"394" 25 1 5 0 4 1
"395" 1 2 1 0 0 0
"396" 1 2 2 0 0 0
"397" 1 2 3 0 0 0
"398" 1 2 4 1 0 0
"399" 1 2 5 1 0 0
"400" 1 2 6 1 0 0
"401" 1 2 7 1 0 0
"402" 1 2 8 1 3 0
"403" 1 2 9 0 0 0
"404" 1 2 10 0 0 0
"405" 1 2 11 0 4 0
"406" 1 2 12 0 0 0
"407" 1 2 13 0 0 0
"408" 1 2 14 0 0 0
"409" 1 2 15 0 0 0
"410" 1 2 16 0 4 0
"411" 1 2 17 0 0 0
"412" 1 2 18 0 4 0
"413" 1 2 19 0 0 0
"414" 1 2 20 0 0 0
"415" 1 2 21 0 0 0
"416" 1 2 22 0 0 0
"417" 1 2 23 0 0 0
"418" 1 2 24 0 0 0
"419" 1 2 25 0 0 0
"420" 1 2 26 0 0 0
"421" 1 2 27 0 0 0
"422" 1 2 28 0 0 0
"423" 1 2 29 0 0 0
"424" 1 2 30 1 0 0
"425" 1 2 31 1 0 0
"426" 1 2 32 1 0 0
"427" 1 2 33 1 3 0
"428" 1 2 34 1 0 0
"429" 1 2 35 1 0 0
"430" 1 2 36 1 0 0
"431" 1 2 37 1 0 0
"432" 1 2 38 1 0 0
"433" 1 2 39 1 0 0
"434" 1 2 40 1 3 0
"435" 1 2 41 1 0 0
"436" 1 2 42 1 0 0
"437" 1 2 43 1 0 0
"438" 1 2 44 1 0 0
"439" 1 2 45 1 0 0
"440" 1 2 46 1 3 0
"441" 1 2 47 0 4 0
"442" 1 2 48 0 0 0
"443" 1 2 49 0 0 0
"444" 1 2 50 0 0 0
"445" 1 2 51 0 0 0
"446" 1 2 52 0 0 0
"447" 1 2 53 0 0 0
"448" 1 2 54 0 0 0
"449" 1 2 55 0 0 0
"450" 1 2 56 0 0 0
"451" 1 2 57 0 0 0
"452" 1 2 58 0 0 0
"453" 1 2 59 0 4 0
"454" 1 2 60 0 0 0
"455" 1 2 61 0 0 0
"456" 1 2 62 0 4 0
"457" 1 2 63 1 0 0
"458" 1 2 64 1 3 0
"459" 1 2 65 0 0 0
"460" 1 2 66 0 0 0
"461" 1 2 67 0 0 0
"462" 1 2 68 0 0 0
"463" 1 2 69 0 0 0
"464" 1 2 70 0 0 0
"465" 1 2 71 0 0 0
"466" 1 2 72 0 4 0
"467" 1 2 73 0 4 0
"468" 1 2 74 0 0 0
"469" 1 2 75 0 0 0
"470" 1 2 76 0 0 0
"471" 1 2 77 0 0 0
"472" 1 2 78 0 0 0
"473" 1 2 79 0 0 0
"474" 1 2 80 0 0 0
"475" 1 2 81 0 0 0
"476" 1 2 82 0 4 0
"477" 1 2 83 1 0 0
"478" 1 2 84 1 0 0
"479" 1 2 85 1 0 0
"480" 1 2 86 1 3 0
"481" 1 2 87 1 0 0
"482" 1 2 88 1 3 0
"483" 1 2 89 1 3 1
"484" 2 2 1 0 0 0
"485" 2 2 2 0 0 0
"486" 2 2 3 0 0 0
"487" 2 2 4 0 0 0
"488" 2 2 5 0 0 0
"489" 2 2 6 0 0 0
"490" 2 2 7 0 0 0
"491" 2 2 8 1 0 0
"492" 2 2 9 1 0 0
"493" 2 2 10 1 3 0
"494" 2 2 11 1 0 0
"495" 2 2 12 1 0 0
"496" 2 2 13 1 0 0
"497" 2 2 14 1 3 0
"498" 2 2 15 1 0 0
"499" 2 2 16 1 0 0
"500" 2 2 17 0 0 0
"501" 2 2 18 0 0 0
"502" 2 2 19 0 0 0
"503" 2 2 20 0 0 0
"504" 2 2 21 0 0 0
"505" 2 2 22 0 0 1
"506" 3 2 1 0 0 0
"507" 3 2 2 1 3 1
"508" 4 2 1 0 0 0
"509" 4 2 2 1 0 0
"510" 4 2 3 1 0 0
"511" 4 2 4 0 0 0
"512" 4 2 5 0 0 0
"513" 4 2 6 0 0 0
"514" 4 2 7 1 0 0
"515" 4 2 8 0 0 0
"516" 4 2 9 1 0 0
"517" 4 2 10 0 0 0
"518" 4 2 11 1 3 0
"519" 4 2 12 0 0 0
"520" 4 2 13 0 4 1
"521" 5 2 1 1 0 0
"522" 5 2 2 1 0 0
"523" 5 2 3 1 3 0
"524" 5 2 4 1 0 0
"525" 5 2 5 1 3 0
"526" 5 2 6 1 0 0
"527" 5 2 7 0 0 0
"528" 5 2 8 0 0 0
"529" 5 2 9 0 0 0
"530" 5 2 10 0 0 0
"531" 5 2 11 0 0 1
"532" 6 2 1 1 0 0
"533" 6 2 2 0 0 0
"534" 6 2 3 1 3 0
"535" 6 2 4 0 0 0
"536" 6 2 5 1 0 0
"537" 6 2 6 0 0 0
"538" 6 2 7 0 0 0
"539" 6 2 8 0 0 0
"540" 6 2 9 0 0 0
"541" 6 2 10 1 0 0
"542" 6 2 11 1 0 0
"543" 6 2 12 1 0 0
"544" 6 2 13 1 0 0
"545" 6 2 14 0 0 0
"546" 6 2 15 1 0 0
"547" 6 2 16 0 0 0
"548" 6 2 17 1 3 0
"549" 6 2 18 0 0 0
"550" 6 2 19 1 0 0
"551" 6 2 20 1 0 0
"552" 6 2 21 1 0 0
"553" 6 2 22 0 0 0
"554" 6 2 23 0 0 0
"555" 6 2 24 0 0 0
"556" 6 2 25 0 0 0
"557" 6 2 26 1 0 0
"558" 6 2 27 1 0 0
"559" 6 2 28 1 0 0
"560" 6 2 29 1 3 0
"561" 6 2 30 0 4 0
"562" 6 2 31 1 0 0
"563" 6 2 32 0 0 0
"564" 6 2 33 0 0 0
"565" 6 2 34 0 4 0
"566" 6 2 35 1 0 0
"567" 6 2 36 0 0 0
"568" 6 2 37 0 0 0
"569" 6 2 38 1 3 0
"570" 6 2 39 0 0 0
"571" 6 2 40 1 0 0
"572" 6 2 41 0 4 0
"573" 6 2 42 1 0 0
"574" 6 2 43 0 0 0
"575" 6 2 44 0 0 0
"576" 6 2 45 0 0 0
"577" 6 2 46 0 0 0
"578" 6 2 47 1 0 0
"579" 6 2 48 0 0 0
"580" 6 2 49 1 0 1
"581" 7 2 1 1 0 0
