ID,Order,Trial,Group,Problem,set,sampkey,sampout,finalr,med,high,low,phigh
1,19,1,1,1,Est,S,-0.3,0,-0.3,-0.3,-2.1,0.96
1,19,2,1,1,Est,R,-0.3,0,-0.3,-0.3,-2.1,0.96
1,19,3,1,1,Est,S,-0.3,0,-0.3,-0.3,-2.1,0.96
1,12,1,1,2,Est,S,-1,0,-1,-0.9,-4.2,0.95
1,12,2,1,2,Est,S,-1,0,-1,-0.9,-4.2,0.95
1,12,3,1,2,Est,S,-1,0,-1,-0.9,-4.2,0.95
1,12,4,1,2,Est,R,-0.9,0,-1,-0.9,-4.2,0.95
1,12,5,1,2,Est,R,-0.9,0,-1,-0.9,-4.2,0.95
1,12,6,1,2,Est,R,-0.9,0,-1,-0.9,-4.2,0.95
1,12,7,1,2,Est,R,-4.2,0,-1,-0.9,-4.2,0.95
1,12,8,1,2,Est,R,-0.9,0,-1,-0.9,-4.2,0.95
1,8,1,1,3,Est,S,-12.2,0,-12.2,-6.3,-15.2,0.3
1,8,2,1,3,Est,S,-12.2,0,-12.2,-6.3,-15.2,0.3
1,8,3,1,3,Est,S,-12.2,0,-12.2,-6.3,-15.2,0.3
1,8,4,1,3,Est,R,-15.2,0,-12.2,-6.3,-15.2,0.3
1,8,5,1,3,Est,R,-15.2,0,-12.2,-6.3,-15.2,0.3
1,8,6,1,3,Est,R,-15.2,0,-12.2,-6.3,-15.2,0.3
1,8,7,1,3,Est,R,-15.2,0,-12.2,-6.3,-15.2,0.3
1,23,1,1,4,Est,S,-25.6,0,-25.6,-10,-29.2,0.2
1,23,2,1,4,Est,S,-25.6,0,-25.6,-10,-29.2,0.2
1,23,3,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,4,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,5,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,6,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,7,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,8,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,9,1,4,Est,R,-29.2,0,-25.6,-10,-29.2,0.2
1,23,10,1,4,Est,S,-25.6,0,-25.6,-10,-29.2,0.2
1,23,11,1,4,Est,S,-25.6,0,-25.6,-10,-29.2,0.2
1,23,12,1,4,Est,S,-25.6,0,-25.6,-10,-29.2,0.2
1,1,1,1,5,Est,S,-1.9,1,-1.9,-1.7,-3.9,0.9
