,subject,problem,samplesize,choice
0,1,1,8,1
1,1,2,11,1
2,1,3,12,1
3,1,4,4,0
4,1,5,7,0
5,1,6,9,1
6,1,7,16,0
7,1,8,7,0
8,1,9,8,0
9,1,10,35,1
10,1,21,4,1
11,1,22,35,1
12,1,23,37,1
13,1,24,15,0
14,1,25,9,1
15,1,26,26,0
16,1,27,8,0
17,1,28,7,1
18,1,29,17,0
19,1,30,6,1
20,1,41,13,0
21,1,42,8,1
22,1,43,20,0
23,1,44,3,1
24,1,45,7,0
25,1,46,21,0
26,1,47,3,0
27,1,48,38,0
28,1,49,8,0
29,1,50,16,0
30,2,1,8,1
31,2,2,24,1
32,2,3,5,1
33,2,4,8,0
34,2,5,26,0
35,2,6,3,1
36,2,7,15,0
37,2,8,16,1
38,2,9,17,0
39,2,10,12,1
40,2,21,6,1
41,2,22,8,0
42,2,23,5,1
43,2,24,16,1
44,2,25,7,1
45,2,26,12,0
46,2,27,16,0
47,2,28,7,0
48,2,29,16,1
49,2,30,3,1
50,2,41,20,1
51,2,42,12,1
52,2,43,26,1
53,2,44,31,1
54,2,45,15,0
55,2,46,7,1
56,2,47,7,0
57,2,48,14,0
58,2,49,15,1
59,2,50,10,1
60,3,1,10,1
61,3,2,16,1
62,3,3,20,1
63,3,4,26,1
64,3,5,44,0
65,3,6,22,1
66,3,7,19,0
67,3,8,13,1
68,3,9,12,0
69,3,10,23,1
70,3,21,16,1
71,3,22,9,1
72,3,23,14,1
73,3,24,10,0
74,3,25,17,1
75,3,26,16,1
76,3,27,10,1
77,3,28,10,0
78,3,29,20,0
79,3,30,16,1
80,3,41,11,0
81,3,42,15,1
82,3,43,21,1
83,3,44,20,0
84,3,45,15,0
85,3,46,15,0
86,3,47,13,1
87,3,48,20,0
88,3,49,14,0
89,3,50,19,1
90,4,1,26,0
91,4,2,7,1
92,4,3,11,1
93,4,4,6,0
94,4,5,16,0
95,4,6,12,1
96,4,7,29,0
97,4,8,24,1
98,4,9,21,0
99,4,10,14,0
100,4,21,9,1
101,4,22,11,1
102,4,23,22,1
103,4,24,15,0
104,4,25,19,1
105,4,26,6,1
106,4,27,33,1
107,4,28,12,0
108,4,29,22,0
109,4,30,11,1
110,4,41,22,1
111,4,42,14,1
112,4,43,23,1
113,4,44,33,1
114,4,45,12,0
115,4,46,33,1
116,4,47,15,1
117,4,48,13,1
118,4,49,11,1
119,4,50,16,0
120,5,1,27,1
121,5,2,11,1
122,5,3,27,1
123,5,4,17,0
124,5,5,22,0
125,5,6,25,1
126,5,7,30,1
127,5,8,20,0
128,5,9,18,0
129,5,10,23,1
130,5,21,15,1
131,5,22,15,1
132,5,23,31,1
133,5,24,31,0
134,5,25,16,1
135,5,26,25,0
136,5,27,22,1
137,5,28,21,0
138,5,29,25,1
139,5,30,12,1
140,5,41,10,0
141,5,42,13,1
142,5,43,18,1
143,5,44,12,0
144,5,45,35,1
145,5,46,26,0
146,5,47,22,1
147,5,48,28,1
148,5,49,24,0
149,5,50,21,0
150,6,1,16,0
151,6,2,8,1
152,6,3,7,1
153,6,4,7,0
154,6,5,6,0
155,6,6,10,1
156,6,7,7,0
157,6,8,6,1
158,6,9,8,0
159,6,10,12,0
160,6,21,5,1
161,6,22,6,1
162,6,23,8,1
163,6,24,4,1
164,6,25,7,1
165,6,26,7,0
166,6,27,4,1
167,6,28,9,0
168,6,29,6,0
169,6,30,5,1
170,6,41,8,0
171,6,42,7,1
172,6,43,5,0
173,6,44,8,0
174,6,45,5,0
175,6,46,5,0
176,6,47,5,1
177,6,48,14,1
178,6,49,6,0
179,6,50,8,0
180,7,1,20,0
181,7,2,34,0
182,7,3,39,1
183,7,4,47,0
184,7,5,11,1
185,7,6,43,0
186,7,7,18,0
187,7,8,22,0
188,7,9,22,0
189,7,10,41,0
190,7,21,10,1
191,7,22,25,1
192,7,23,28,1
193,7,24,17,1
194,7,25,24,1
195,7,26,16,1
196,7,27,43,1
197,7,28,9,1
198,7,29,25,1
199,7,30,36,0
200,7,41,12,1
201,7,42,12,1
202,7,43,22,1
203,7,44,13,1
204,7,45,17,1
205,7,46,19,1
206,7,47,40,0
207,7,48,16,1
208,7,49,17,1
209,7,50,24,1
210,8,1,22,0
211,8,2,16,1
212,8,3,23,1
213,8,4,19,0
214,8,5,18,1
215,8,6,15,1
216,8,7,26,1
217,8,8,20,1
218,8,9,31,1
219,8,10,27,0
220,8,21,8,1
221,8,22,35,0
222,8,23,22,0
223,8,24,35,1
224,8,25,17,0
225,8,26,10,0
226,8,27,29,0
227,8,28,24,0
228,8,29,17,1
229,8,30,29,1
230,8,41,35,0
231,8,42,28,1
232,8,43,11,0
233,8,44,10,1
234,8,45,30,1
235,8,46,16,0
236,8,47,19,0
237,8,48,13,1
238,8,49,18,1
239,8,50,34,0
240,9,1,20,1
241,9,2,14,1
242,9,3,21,1
243,9,4,40,0
244,9,5,22,0
245,9,6,11,1
246,9,7,20,0
247,9,8,16,1
248,9,9,15,0
249,9,10,40,1
250,9,21,14,1
251,9,22,16,1
252,9,23,22,1
253,9,24,25,0
254,9,25,26,1
255,9,26,18,0
256,9,27,15,1
257,9,28,25,1
258,9,29,18,0
259,9,30,30,1
260,9,41,27,1
261,9,42,22,1
262,9,43,38,1
263,9,44,18,1
264,9,45,18,0
265,9,46,29,0
266,9,47,20,1
267,9,48,20,0
268,9,49,17,0
269,9,50,14,0
270,10,1,12,1
271,10,2,6,1
272,10,3,6,1
273,10,4,11,0
274,10,5,10,0
275,10,6,2,1
276,10,7,9,1
277,10,8,4,1
278,10,9,4,0
279,10,10,4,1
280,10,21,8,1
281,10,22,5,1
