,subject,problem,choice,samplesize
0,1,0,1,3
1,1,1,1,8
2,1,2,1,7
3,1,3,0,12
4,1,4,0,23
5,1,5,0,2
6,1,6,1,9
7,1,7,1,7
8,1,8,1,15
9,1,9,1,12
10,1,20,1,10
11,1,21,0,2
12,1,22,0,13
13,1,23,1,3
14,1,24,0,4
15,1,25,0,3
16,1,26,0,2
17,1,27,0,7
18,1,28,1,8
19,1,29,1,2
20,1,40,1,13
21,1,41,0,4
22,1,42,1,10
23,1,43,0,2
24,1,44,1,8
25,1,45,0,6
26,1,46,1,11
27,1,47,0,2
28,1,48,0,7
29,1,49,1,7
30,2,0,1,18
31,2,1,0,13
32,2,2,0,17
33,2,3,1,15
34,2,4,1,12
35,2,5,0,11
36,2,6,1,13
37,2,7,1,14
38,2,8,0,18
39,2,9,0,13
40,2,20,0,21
41,2,21,1,15
42,2,22,0,20
43,2,23,1,42
44,2,24,0,18
45,2,25,0,20
46,2,26,0,20
47,2,27,1,19
48,2,28,1,21
49,2,29,0,12
50,2,40,0,11
51,2,41,0,16
52,2,42,1,13
53,2,43,0,20
54,2,44,1,9
55,2,45,1,12
56,2,46,0,17
57,2,47,1,17
58,2,48,1,13
59,2,49,0,17
60,3,0,0,8
61,3,1,0,10
62,3,2,0,38
63,3,3,1,25
64,3,4,0,6
65,3,5,1,9
66,3,6,1,7
67,3,7,0,18
68,3,8,1,7
69,3,9,0,13
70,3,20,1,6
71,3,21,0,11
72,3,22,0,11
73,3,23,1,6
74,3,24,0,8
75,3,25,0,6
76,3,26,0,9
77,3,27,1,16
78,3,28,1,5
79,3,29,1,2
80,3,40,1,6
81,3,41,0,17
82,3,42,1,3
83,3,43,0,5
84,3,44,1,22
85,3,45,1,4
86,3,46,1,6
87,3,47,0,8
88,3,48,0,4
89,3,49,0,9
90,4,0,1,3
91,4,1,0,2
92,4,2,1,4
93,4,3,0,4
94,4,4,0,3
95,4,5,1,2
96,4,6,1,4
97,4,7,0,2
98,4,8,0,2
99,4,9,0,3
100,4,20,1,2
101,4,21,0,8
102,4,22,1,3
103,4,23,1,2
104,4,24,0,4
105,4,25,0,3
106,4,26,0,3
107,4,27,0,3
108,4,28,1,2
109,4,29,1,2
110,4,40,1,6
111,4,41,0,3
112,4,42,1,2
113,4,43,0,4
114,4,44,1,10
115,4,45,1,4
116,4,46,1,14
117,4,47,0,4
118,4,48,0,2
119,4,49,0,3
120,5,0,0,21
121,5,1,0,12
122,5,2,1,7
123,5,3,1,6
124,5,4,0,5
125,5,5,1,8
126,5,6,0,9
127,5,7,0,10
128,5,8,0,7
129,5,9,0,9
130,5,20,1,11
131,5,21,0,8
132,5,22,0,22
133,5,23,1,10
134,5,24,0,16
135,5,25,0,9
136,5,26,1,6
137,5,27,0,5
138,5,28,1,13
139,5,29,1,9
140,5,40,0,10
141,5,41,0,11
142,5,42,1,7
143,5,43,1,5
144,5,44,0,8
145,5,45,1,7
146,5,46,1,4
147,5,47,0,8
148,5,48,0,9
149,5,49,0,9
150,6,0,1,16
151,6,1,0,15
152,6,2,0,15
153,6,3,0,15
154,6,4,1,27
155,6,5,1,23
156,6,6,1,22
157,6,7,0,28
158,6,8,0,20
159,6,9,0,25
160,6,20,1,22
161,6,21,0,23
162,6,22,1,29
163,6,23,1,15
164,6,24,0,12
165,6,25,0,31
166,6,26,1,20
167,6,27,0,10
168,6,28,0,18
169,6,29,0,19
170,6,40,1,7
171,6,41,0,28
172,6,42,1,29
173,6,43,0,24
174,6,44,0,27
175,6,45,1,21
176,6,46,1,27
177,6,47,1,23
178,6,48,1,13
179,6,49,0,19
180,7,0,1,27
181,7,1,1,9
182,7,2,0,13
183,7,3,1,24
184,7,4,1,17
185,7,5,1,12
186,7,6,1,30
187,7,7,0,45
188,7,8,0,29
189,7,9,0,11
190,7,20,1,8
191,7,21,1,23
192,7,22,1,12
193,7,23,1,36
194,7,24,0,24
195,7,25,0,8
196,7,26,0,19
197,7,27,1,34
198,7,28,1,23
199,7,29,1,13
200,7,40,1,17
201,7,41,0,22
202,7,42,1,12
203,7,43,1,14
204,7,44,0,8
205,7,45,0,13
206,7,46,1,32
207,7,47,0,11
208,7,48,1,16
209,7,49,1,21
210,8,0,1,15
211,8,1,0,34
212,8,2,1,10
213,8,3,1,12
214,8,4,0,23
215,8,5,1,13
216,8,6,0,18
217,8,7,0,18
218,8,8,1,14
219,8,9,1,13
220,8,20,1,12
221,8,21,1,7
222,8,22,0,15
223,8,23,1,19
224,8,24,1,8
225,8,25,1,16
226,8,26,1,17
227,8,27,1,9
228,8,28,0,5
229,8,29,1,19
230,8,40,1,13
231,8,41,1,16
232,8,42,1,8
233,8,43,1,17
234,8,44,1,17
235,8,45,0,18
236,8,46,1,17
237,8,47,0,20
238,8,48,1,16
239,8,49,0,22
240,9,0,0,12
241,9,1,1,17
242,9,2,0,26
243,9,3,0,15
244,9,4,0,10
245,9,5,1,27
246,9,6,1,18
247,9,7,1,37
248,9,8,0,12
249,9,9,0,17
250,9,20,1,11
251,9,21,1,16
252,9,22,0,16
253,9,23,1,10
254,9,24,0,12
255,9,25,0,80
256,9,26,0,8
257,9,27,0,45
258,9,28,0,19
259,9,29,1,7
260,9,40,0,11
261,9,41,0,12
262,9,42,1,17
263,9,43,0,16
264,9,44,1,216
265,9,45,1,9
266,9,46,1,17
267,9,47,0,18
268,9,48,1,14
269,9,49,0,4
270,10,0,1,3
271,10,1,1,7
272,10,2,1,2
273,10,3,0,2
274,10,4,0,3
275,10,5,1,2
276,10,6,0,2
277,10,7,1,6
278,10,8,1,3
279,10,9,0,2
280,10,20,1,2
281,10,21,0,2
282,10,22,0,6
283,10,23,1,6
284,10,24,1,2
285,10,25,0,2
286,10,26,0,2
287,10,27,0,3
288,10,28,0,2
289,10,29,0,13
290,10,40,0,2
291,10,41,1,2
292,10,42,0,19
293,10,43,1,3
294,10,44,1,5
295,10,45,1,3
296,10,46,1,2
297,10,47,1,3
298,10,48,1,2
299,10,49,0,3
300,12,0,1,11
301,12,1,0,5
302,12,2,0,12
303,12,3,0,15
304,12,4,1,2
305,12,5,0,24
306,12,6,1,15
307,12,7,1,10
308,12,8,0,6
309,12,9,0,12
310,12,20,1,10
311,12,21,1,13
312,12,22,1,8
313,12,23,1,24
314,12,24,0,11
315,12,25,1,11
316,12,26,0,5
317,12,27,0,8
318,12,28,0,13
319,12,29,1,9
320,12,40,0,10
321,12,41,1,22
322,12,42,1,8
323,12,43,0,22
324,12,44,1,3
325,12,45,1,6
326,12,46,1,13
327,12,47,1,13
328,12,48,1,8
329,12,49,1,13
330,13,0,1,20
331,13,1,1,16
332,13,2,0,42
333,13,3,1,28
334,13,4,0,12
335,13,5,1,10
336,13,6,1,26
337,13,7,0,15
338,13,8,1,24
339,13,9,0,46
340,13,20,1,25
341,13,21,0,13
342,13,22,0,31
343,13,23,1,11
344,13,24,0,13
345,13,25,0,11
346,13,26,0,17
347,13,27,0,23
348,13,28,1,18
349,13,29,0,28
350,13,40,1,30
351,13,41,0,26
352,13,42,1,26
353,13,43,0,17
354,13,44,1,26
355,13,45,1,42
356,13,46,0,15
357,13,47,1,8
358,13,48,0,17
359,13,49,0,11
360,14,0,0,4
361,14,1,0,7
362,14,2,0,35
363,14,3,1,2
364,14,4,0,6
365,14,5,1,18
366,14,6,0,2
367,14,7,1,4
368,14,8,0,12
369,14,9,0,26
370,14,20,1,3
371,14,21,0,5
372,14,22,1,2
373,14,23,1,51
374,14,24,0,6
375,14,25,0,4
376,14,26,0,2
377,14,27,0,2
378,14,28,1,5
379,14,29,1,2
380,14,40,0,5
381,14,41,0,2
382,14,42,1,4
383,14,43,0,5
384,14,44,0,2
385,14,45,1,10
386,14,46,1,2
387,14,47,0,2
388,14,48,0,2
